   1, 569, 346, 570, 571
   2, 569, 570, 521, 571
   3, 569, 572, 354, 571
   4, 569, 573, 574, 549
   5, 569, 573, 549, 548
   6, 569, 571, 521, 535
   7, 575, 576, 564, 237
   8, 575, 565, 121, 564
   9, 575, 238, 577, 578
  10, 575, 157, 577, 565
  11, 575, 576, 430, 564
  12, 575, 565, 158, 157
  13, 579, 580, 461, 378
  14, 575, 564, 430, 158
  15, 581, 463,  28,  27
  16, 581, 376, 263, 285
  17, 463, 582, 180, 581
  18, 581, 583, 463, 582
  19, 581, 263,  30, 285
  20, 584, 276, 223, 108
  21, 180, 263,  30, 581
  22, 581, 583, 582, 263
  23, 585, 279, 277, 338
  24, 241, 579, 586, 587
  25, 579, 580, 125, 220
  26, 140, 587, 410, 579
  27, 579, 409, 140, 139
  28, 579, 587, 410, 586
  29, 579, 580, 588, 461
  30, 579, 409, 139, 461
  31, 589, 572, 353, 574
  32, 589, 572, 574, 522
  33, 589, 590, 292, 314
  34, 589, 522, 591, 489
  35, 589, 292, 592, 593
  36, 589, 489, 592, 590
  37, 435, 594, 188, 189
  38, 595, 566, 122, 577
  39, 122, 596, 566, 595
  40, 577, 566, 122, 565
  41, 577, 156, 433, 566
  42, 577, 566, 157, 156
  43, 444, 594, 188, 435
  44, 577, 433, 595, 566
  45, 577, 595, 433, 432
  46, 575, 431, 577, 157
  47, 588, 123, 596, 567
  48, 575, 577, 431, 578
  49, 597, 371, 598, 599
  50, 597, 517, 598, 600
  51, 588, 123, 567, 124
  52, 597, 599, 362, 371
  53, 597, 599, 517, 539
  54, 597, 601, 362, 599
  55, 597, 539, 601, 599
  56, 602, 127, 587, 380
  57, 602, 243, 590, 242
  58, 602, 411, 412, 142
  59, 602, 587, 241, 603
  60, 602, 412, 590, 381
  61, 602, 411, 142, 141
  62, 603, 587, 410, 602
  63, 141, 602, 410, 380
  64, 604, 276, 107, 278
  65, 605, 106, 279, 278
  66, 211, 106, 279, 605
  67, 211, 604, 605, 102
  68, 604, 101, 437, 102
  69, 605, 585, 211, 102
  70, 606, 225, 289, 288
  71, 607, 216,  73,  72
  72, 608, 609, 393, 610
  73, 607, 608, 611, 610
  74, 609, 607, 216, 610
  75, 610, 609, 280, 216
  76, 612, 456,  26,  25
  77, 612, 455, 456,  25
  78, 612,  33, 265, 266
  79, 612, 266, 613, 178
  80, 612, 582, 457, 614
  81, 612,  32, 265,  33
  82, 614, 582, 264, 612
  83,  32, 612, 582, 179
  84, 584, 107, 276, 108
  85, 584, 107, 604, 276
  86, 436, 584, 594, 100
  87, 594, 100, 435, 436
  88, 604, 615, 276, 278
  89, 604, 278, 107, 106
  90, 584, 100, 436, 101
  91, 604, 584, 615, 436
  92, 604, 436, 615, 437
  93, 604, 584, 101, 210
  94, 616, 395,   7, 401
  95, 241, 602, 242, 127
  96, 616, 401, 617, 618
  97, 616, 213,  78, 191
  98, 616, 213,  10,  78
  99, 616, 617, 253, 618
 100, 616,  10, 253,  79
 101, 616, 213, 619, 620
 102, 621, 366, 327, 364
 103, 622, 400,  80,   8
 104, 609, 607, 608, 622
 105, 622, 608,  70, 197
 106, 607, 622, 609, 217
 107, 622,  70, 393,   8
 108, 393, 622, 608,  70
 109, 555, 104, 111, 218
 110, 552, 393, 400, 609
 111, 487, 623, 410, 603
 112, 313, 603, 241, 623
 113, 577, 122, 239, 121
 114, 603, 241, 623, 587
 115, 587, 623, 410, 586
 116, 102, 585, 211, 103
 117, 605, 279, 377, 278
 118, 220, 241, 579, 586
 119, 127, 587, 241, 602
 120, 410, 602, 411, 603
 121, 602, 587, 410, 380
 122, 598, 368, 624, 338
 123, 126, 379, 241, 127
 124, 379, 241, 127, 587
 125, 625, 626, 215, 627
 126, 625,  75, 215, 214
 127, 625, 626, 627, 460
 128, 625, 194,  75,  76
 129, 625, 193, 626, 460
 130, 625,  76, 214, 193
 131, 628, 511, 629, 583
 132, 628, 630, 511, 551
 133, 628, 614, 631, 474
 134, 632, 504, 633, 634
 135, 632, 428, 633, 504
 136, 563, 429, 160, 562
 137, 580, 461, 378, 153
 138, 562, 429, 160, 428
 139, 632, 635, 429, 634
 140, 632, 635, 235, 563
 141, 632, 429, 635, 563
 142, 610, 611, 394, 608
 143, 627, 610, 611, 394
 144, 611, 608, 196, 394
 145, 607,  71, 622, 217
 146, 217,  71,  72, 607
 147, 607, 216, 610, 611
 148, 608, 393,  70,  69
 149, 610, 607, 608, 609
 150, 584, 209, 210, 108
 151, 636, 637, 424, 509
 152, 592, 243, 590, 381
 153, 381, 243, 129, 382
 154, 382, 243, 129, 244
 155, 592, 638, 593, 244
 156, 592, 638, 382, 413
 157, 573, 548, 639, 462
 158, 584, 210, 209, 101
 159, 640, 641,  45, 439
 160, 640, 581, 285, 641
 161, 181, 640, 581, 285
 162, 640, 641, 285, 182
 163, 640,  45, 641, 182
 164, 639, 642, 445, 520
 165, 639,   1, 643, 462
 166, 639, 462, 445,   1
 167, 639, 373, 642, 644
 168, 639, 642, 284, 236
 169, 639,  44, 642, 236
 170, 580, 283, 588, 124
 171, 283, 579, 220, 580
 172, 580, 588, 283, 579
 173, 580, 588, 461, 568
 174, 580,  13, 568, 153
 175, 580, 125, 124,  13
 176, 633, 645, 234, 331
 177, 633, 646, 645, 331
 178, 633, 646, 331, 647
 179, 633, 647, 331, 358
 180, 598, 600, 543, 624
 181, 598, 600, 368, 371
 182, 598, 648, 399, 517
 183, 598, 599, 648, 517
 184, 598, 600, 517, 543
 185, 597, 600, 598, 371
 186, 649, 545, 650, 651
 187, 649, 650, 369, 651
